Timestep: 0-270, Program time: 0.360533 s, Sim. time: 0.788810 TU, Active/Total Cells: 3437/6347, Max key %: 0.000000
Timestep: 0-277, Program time: 0.391908 s, Sim. time: 0.800000 TU, Active/Total Cells: 3662/5905, Max key %: 0.000000
Timestep: 0-280, Program time: 0.400764 s, Sim. time: 0.805450 TU, Active/Total Cells: 3730/6098, Max key %: 0.000000
Timestep: 0-290, Program time: 0.423272 s, Sim. time: 0.822998 TU, Active/Total Cells: 4040/7073, Max key %: 0.000000
Timestep: 0-300, Program time: 0.449564 s, Sim. time: 0.839923 TU, Active/Total Cells: 4342/8067, Max key %: 0.000000
Timestep: 0-310, Program time: 0.491926 s, Sim. time: 0.856277 TU, Active/Total Cells: 4636/7910, Max key %: 0.000000
Timestep: 0-320, Program time: 0.520644 s, Sim. time: 0.872146 TU, Active/Total Cells: 4921/8930, Max key %: 0.000000
Timestep: 0-330, Program time: 0.569849 s, Sim. time: 0.887578 TU, Active/Total Cells: 5222/8558, Max key %: 0.000000
Timestep: 0-340, Program time: 0.599258 s, Sim. time: 0.902585 TU, Active/Total Cells: 5483/9590, Max key %: 0.000000
Timestep: 0-350, Program time: 0.648386 s, Sim. time: 0.917334 TU, Active/Total Cells: 5795/10745, Max key %: 0.000000
Timestep: 0-360, Program time: 0.705904 s, Sim. time: 0.931624 TU, Active/Total Cells: 6013/10276, Max key %: 0.000000
Timestep: 0-370, Program time: 0.741191 s, Sim. time: 0.945711 TU, Active/Total Cells: 6279/11440, Max key %: 0.000000
Timestep: 0-380, Program time: 0.807125 s, Sim. time: 0.959452 TU, Active/Total Cells: 6548/10796, Max key %: 0.000000
Timestep: 0-390, Program time: 0.845131 s, Sim. time: 0.972825 TU, Active/Total Cells: 6811/11982, Max key %: 0.000000
Timestep: 0-400, Program time: 0.883980 s, Sim. time: 0.985853 TU, Active/Total Cells: 7084/13122, Max key %: 0.000000
Timestep: 0-410, Program time: 0.956482 s, Sim. time: 0.998580 TU, Active/Total Cells: 7267/12458, Max key %: 0.000000
Timestep: 0-412, Program time: 0.964811 s, Sim. time: 1.000000 TU, Active/Total Cells: 7309/12741, Max key %: 0.000000
